"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
750.0	0.6065127	0.0304459	0.7134337	0.8219900	0.1200498	0.4559274	0.1218141	0.5990146	0.7627848	0.7459357
800.0	0.6243069	0.1115680	0.6120624	0.6378193	0.1776390	0.6281558	0.0805418	0.7789658	0.7301306	0.6373354
850.0	0.6398774	0.2587638	0.6666743	0.8137984	0.0775454	0.5733789	0.0815476	0.8183460	0.7159765	0.5939219
900.0	0.6802596	0.1757636	0.5508774	0.8956855	0.0569776	0.6977119	0.1155057	0.5434806	0.5866876	0.7173446
950.0	0.6822649	0.1059372	0.6809049	0.6376783	0.0621604	0.5788598	0.0898181	0.5977445	0.5475067	0.6204315
1000.0	0.6366115	0.0693344	0.5834631	0.7100885	0.1081258	0.5986271	0.0549850	0.6494619	0.6413130	0.7369777

0.0	0.6214225	0.2390612	0.5982388	0.5632529	0.2781876	0.5746758	0.0310556	0.5694510	0.6049886	0.7464546
50.0	0.8004574	0.4170516	0.6203540	0.6690130	0.0817893	0.6601408	0.0468794	0.6268083	0.5608383	0.1666217
100.0	0.6781367	0.5148730	0.7095644	0.6712292	0.0735007	0.7105138	0.2139203	0.5607125	0.5292581	0.0918277
150.0	0.7292155	0.5629737	0.4802403	0.6909312	0.0782346	0.5723542	0.2245143	0.4565252	0.5700155	0.1029095
200.0	0.5791297	0.5773526	0.4776338	0.7006687	0.0545440	0.6168664	0.3546319	0.3010967	0.5165074	0.0851340
250.0	0.6906482	0.5637635	0.4588340	0.6515318	0.0490949	0.4416718	0.3593754	0.2920852	0.6256374	0.0802164
300.0	0.7007028	0.6017739	0.6233981	0.6972747	0.0498437	0.4685120	0.3464837	0.2779408	0.3984917	0.0988948
350.0	0.7556584	0.4771433	0.4343449	0.6815534	0.0414899	0.4333314	0.3269221	0.3084055	0.6015836	0.0803427
400.0	0.6245180	0.5544779	0.4531289	0.5830193	0.0331160	0.5167700	0.3752645	0.2561096	0.6249951	0.1220516
450.0	0.6891365	0.6536083	0.5028973	0.5979125	0.0270327	0.4203254	0.3917628	0.2607094	0.5927344	0.1571696
500.0	0.6622871	0.5198033	0.4988099	0.6340543	0.0278255	0.5410433	0.4397045	0.2870450	0.5574422	0.0663755
550.0	0.6887933	0.1960484	0.3742972	0.6129607	0.0793537	0.4186002	0.3225044	0.3012594	0.6341172	0.5742544
600.0	0.6045479	0.0838690	0.5810182	0.6252922	0.0435040	0.4255524	0.2767918	0.5910418	0.6825656	0.7103575
650.0	0.5684042	0.0356073	0.6740862	0.6342926	0.0439163	0.4200009	0.1409197	0.5096427	0.6031092	0.7503240
700.0	0.6582119	0.0531711	0.5696768	0.5467389	0.2711414	0.5468745	0.0750331	0.5478757	0.7415918	0.7683042
750.0	0.6445721	0.2349321	0.5992847	0.7499564	0.1615188	0.6114492	0.0782815	0.6860586	0.6787966	0.6779843
800.0	0.6131108	0.2170617	0.7271016	0.7221774	0.0985495	0.7561949	0.0956761	0.6613248	0.6967610	0.7004863
850.0	0.6966552	0.1460906	0.5998186	0.6117993	0.0383284	0.7809917	0.1152209	0.6461899	0.6830579	0.6952332
900.0	0.6749025	0.0630306	0.7797116	0.5934496	0.1781693	0.6441666	0.1570782	0.6637484	0.6633103	0.5083225
950.0	0.6409040	0.1087270	0.6581622	0.7943677	0.1796589	0.6360057	0.0710659	0.6833402	0.5969944	0.7209370
1000.0	0.6693021	0.2346898	0.7078107	0.6569468	0.2512058	0.6430747	0.0885121	0.6389621	0.6181970	0.7452549

0.0	0.6915898	0.2338904	0.6598145	0.7593274	0.0791337	0.5740673	0.0315130	0.7256002	0.6227947	0.6767722
50.0	0.7438541	0.4973434	0.7754101	0.6801287	0.1449401	0.7281284	0.1016704	0.5188655	0.6570776	0.5336369
100.0	0.6254011	0.4926815	0.6778706	0.7071749	0.1709144	0.6722435	0.1650963	0.4531420	0.6649125	0.7349648
150.0	0.7119316	0.4952848	0.5874721	0.6915025	0.1425563	0.5818812	0.2605261	0.4081930	0.5636826	0.6436545
200.0	0.5416307	0.6316753	0.7459289	0.7059388	0.1313911	0.4805519	0.3534139	0.3609255	0.7154830	0.6927441
250.0	0.5443968	0.5541389	0.6845896	0.5792763	0.1432393	0.4878724	0.4368460	0.3412310	0.7035741	0.5920775
300.0	0.6545849	0.6489507	0.5240919	0.6168436	0.1633588	0.4475684	0.3953910	0.3430205	0.6287078	0.6318673
350.0	0.6800698	0.6026611	0.6445428	0.7977836	0.1560782	0.5676225	0.2980098	0.2812106	0.7162095	0.6291175
400.0	0.6342342	0.5378402	0.6145737	0.6707640	0.1145073	0.5204786	0.3537962	0.3532403	0.6359650	0.7231494
450.0	0.6647282	0.6029920	0.6029319	0.5907183	0.1765532	0.4751415	0.3239103	0.3038260	0.5914618	0.6542181
500.0	0.6657403	0.5394387	0.6326226	0.6734043	0.1895198	0.5083598	0.3390040	0.3808055	0.5815539	0.6065370
550.0	0.6223719	0.2526071	0.7820191	0.6585574	0.0537636	0.5016690	0.3868451	0.2797404	0.6636413	0.5983199
600.0	0.6960233	0.1129086	0.7077068	0.6280062	0.0496127	0.4131859	0.3518108	0.4622538	0.5909236	0.7095731
650.0	0.6956821	0.0375384	0.7148873	0.7678076	0.0655364	0.3581232	0.2402467	0.6354837	0.8023806	0.6993940
700.0	0.5464891	0.0584713	0.7208876	0.7284069	0.2111344	0.3560826	0.1257188	0.6371679	0.5719785	0.5800287
750.0	0.6095815	0.2178771	0.6715304	0.5363577	0.1878130	0.6451083	0.0696035	0.6596241	0.5547017	0.7251359
800.0	0.8030964	0.1668629	0.6753433	0.7770043	0.0724880	0.5970447	0.0830079	0.5223113	0.6397543	0.6740294
850.0	0.6763375	0.1256165	0.6907497	0.6319538	0.1061575	0.7929177	0.1339837	0.5622408	0.6134217	0.6637952
900.0	0.6593881	0.0464005	0.5982460	0.6541874	0.1516524	0.5423671	0.0964924	0.6307803	0.7161887	0.8109614
950.0	0.8030895	0.2933879	0.6796263	0.7346696	0.2570761	0.6765307	0.0525126	0.5363884	0.6713493	0.6696239
1000.0	0.7321291	0.2356021	0.6682597	0.5620507	0.1402917	0.6977670	0.0562061	0.5008871	0.6859213	0.7376604

0.0	0.6689666	0.0476100	0.5892719	0.6708191	0.1378262	0.6393759	0.0474851	0.6645618	0.7389344	0.7414517
50.0	0.6243556	0.1322290	0.6628217	0.6203818	0.3015316	0.1965109	0.0454575	0.7304925	0.1064842	0.6512415
100.0	0.6815680	0.3146006	0.6863369	0.6392777	0.2141247	0.1120339	0.0591432	0.5921437	0.0891723	0.5834885
150.0	0.6367281	0.2978526	0.6428395	0.6896854	0.2935863	0.1028576	0.0672381	0.5999242	0.0794147	0.7332876
200.0	0.7271220	0.3749968	0.7610222	0.5899858	0.1948136	0.0479168	0.0720456	0.5569286	0.1625706	0.6931626
250.0	0.6428747	0.4744634	0.6815671	0.7449325	0.2828455	0.0203582	0.0531545	0.4305924	0.1169994	0.6622369
300.0	0.7578733	0.5797259	0.7091839	0.7165592	0.2539835	0.0539735	0.0198408	0.4393562	0.1202592	0.6811810
350.0	0.6063750	0.3986182	0.6033396	0.6548668	0.2987135	0.0501183	0.0225474	0.4327609	0.1253357	0.5863860
400.0	0.6651108	0.5163119	0.7090288	0.7048845	0.2210726	0.0369337	0.0119910	0.3541309	0.1210247	0.6108357
450.0	0.6440738	0.5039694	0.6165710	0.5807240	0.2728561	0.0279170	0.0104645	0.5267003	0.1844005	0.7809209
500.0	0.6756544	0.4700922	0.7332800	0.6841106	0.2585603	0.0539815	0.0213398	0.4571350	0.1355564	0.6740861
550.0	0.6806585	0.3445405	0.7026364	0.5926967	0.1549910	0.4595803	0.0625134	0.4742249	0.4747672	0.6478931
600.0	0.5991409	0.1774965	0.6983470	0.6588745	0.0835393	0.6570827	0.1655640	0.7257568	0.5978423	0.6390103
650.0	0.5745400	0.1056181	0.6600042	0.7687045	0.0627110	0.6415201	0.1841018	0.5884351	0.6298541	0.5729027
700.0	0.7030458	0.0436959	0.8979167	0.8859788	0.0709065	0.6421454	0.1086519	0.6661202	0.6829820	0.7107916
750.0	0.7839828	0.0551582	0.7321300	0.7635850	0.2067491	0.6965300	0.0546789	0.6465175	0.6256829	0.6875076
800.0	0.6231205	0.2068157	0.6442357	0.6275509	0.1900184	0.6585453	0.0339465	0.7266245	0.6108059	0.7132888
850.0	0.6972616	0.1570902	0.6365666	0.7446394	0.1020243	0.6707215	0.0787838	0.6786115	0.5640720	0.7295054
900.0	0.7167792	0.0961573	0.7379328	0.6349339	0.0731470	0.5778029	0.1059690	0.6617768	0.6967796	0.6626984
950.0	0.6464440	0.0540037	0.7683945	0.6528546	0.1247392	0.8796771	0.0809093	0.6315746	0.6621326	0.6891249
1000.0	0.6528114	0.1695420	0.5917572	0.6740743	0.1597347	0.6245062	0.0757628	0.8074697	0.7279435	0.5656831
"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.5568788	0.1973301	0.5808522	0.1695934	0.5313920	0.6234423	0.3903011	0.7394766	0.6905378	0.6753579
50.0	0.5007082	0.2041471	0.7565567	0.2222128	0.6560918	0.6782639	0.5528566	0.6192178	0.7633810	0.9124005
100.0	0.3127330	0.1749173	0.6533051	0.1877717	0.6870135	0.7053550	0.6919269	0.6091063	0.6600078	0.5544402
150.0	0.2382932	0.1840543	0.6853276	0.1907228	0.5947335	0.6390386	0.5994127	0.7157248	0.6802115	0.5867277
200.0	0.2216376	0.3557997	0.6507278	0.1797856	0.7357770	0.6087151	0.6394595	0.6690893	0.6937546	0.7299626
250.0	0.1911387	0.3810351	0.6255807	0.1896620	0.6146096	0.7316150	0.6278026	0.7875952	0.7333815	0.6722257
300.0	0.1876877	0.2831729	0.4043372	0.1881315	0.7570480	0.6513437	0.7941289	0.6964367	0.6919134	0.7574570
350.0	0.2244655	0.4274036	0.3025806	0.1834697	0.6495655	0.6247004	0.6275151	0.7183012	0.5836529	0.6570140
400.0	0.2225755	0.3983158	0.3041990	0.2063530	0.5965857	0.6368261	0.6714059	0.7302880	0.4793615	0.6548199
450.0	0.2463636	0.3327270	0.3103866	0.2749580	0.6857454	0.6369196	0.7263207	0.6464433	0.5393516	0.7034878
500.0	0.1622335	0.3846006	0.3430636	0.2550671	0.7479303	0.6921072	0.6996017	0.6573981	0.6675667	0.7192334
550.0	0.3137026	0.4426475	0.3343763	0.1784419	0.7604452	0.5917012	0.4369108	0.8816965	0.5449214	0.7208175
600.0	0.2621726	0.3543982	0.3628664	0.3027507	0.8575825	0.9118947	0.3190161	0.7466133	0.5237627	0.7811166
650.0	0.3676810	0.3428779	0.3452737	0.2045224	0.6639521	0.7271628	0.2515962	0.7156700	0.6265107	0.6992968
700.0	0.4993344	0.2402609	0.3348866	0.2352383	0.6829017	0.7069216	0.3316266	0.6200168	0.6366940	0.7257102
750.0	0.4735518	0.1899832	0.4043743	0.2645962	0.6414847	0.7882426	0.2915546	0.6970678	0.7477011	0.6598661
800.0	0.4289648	0.2212891	0.4817580	0.2767962	0.7403943	0.7256734	0.4054083	0.6901789	0.6350313	0.7670523
850.0	0.3934894	0.2486218	0.6491355	0.1541504	0.7847431	0.7589715	0.3112893	0.6619251	0.6741593	0.6314761
900.0	0.4018530	0.1652638	0.6389594	0.1481184	0.6945364	0.8041784	0.3233163	0.7484189	0.7060560	0.7710218
950.0	0.4706917	0.1698679	0.6684469	0.1797866	0.6997535	0.7231471	0.3579273	0.6962490	0.7381237	0.5656676
1000.0	0.4702220	0.1810093	0.6630700	0.1372357	0.5810575	0.6728514	0.2591944	0.6851861	0.6811684	0.6806656

0.0	0.4151348	0.2426412	0.5905161	0.1807197	0.6462534	0.8137043	0.3258624	0.7356919	0.5985757	0.7304150
50.0	0.5281139	0.1778012	0.6638259	0.0611375	0.4351952	0.6767686	0.3797357	0.6984554	0.6897710	0.7169565
100.0	0.3467826	0.2106228	0.6521635	0.0521340	0.2948744	0.6623439	0.3318577	0.7992966	0.6167089	0.8776432
150.0	0.2652120	0.2014438	0.6615569	0.0320968	0.3218315	0.8072659	0.2883130	0.7545094	0.6292350	0.7870751
200.0	0.2325836	0.2521113	0.6333766	0.0136031	0.2593776	0.7100938	0.3721221	0.6824266	0.6500131	0.6028650
250.0	0.1362952	0.4799127	0.6200324	0.0116919	0.2010866	0.7019782	0.3029258	0.6889579	0.6163870	0.6609240
300.0	0.1245063	0.5303283	0.4347613	0.0095078	0.2790267	0.7582201	0.4224045	0.8368971	0.4706717	0.7267452
350.0	0.1587573	0.4894392	0.3768063	0.0373973	0.1377808	0.6249998	0.3311256	0.6359177	0.5144478	0.7918199
400.0	0.2353500	0.5192630	0.2624266	0.0506532	0.2044003	0.7109034	0.3326612	0.6746246	0.6062352	0.8360120
450.0	0.3936893	0.3753841	0.2870626	0.0762872	0.1982441	0.6715697	0.3233936	0.6412875	0.5077337	0.7328603
500.0	0.4078998	0.2601416	0.2731837	0.0957119	0.2190863	0.6061802	0.2861542	0.6886355	0.6591610	0.7358511
550.0	0.4912423	0.2733835	0.4822447	0.1978531	0.6018403	0.6091750	0.2617139	0.6900639	0.4858964	0.6722173
600.0	0.5286018	0.2200359	0.5713415	0.1986323	0.6504698	0.6440218	0.3946725	0.6820067	0.6854070	0.6079608
650.0	0.4490403	0.1650780	0.6206254	0.1818616	0.6510893	0.7397037	0.3633543	0.7305750	0.6117577	0.6509562
700.0	0.6073746	0.2147327	0.6692485	0.1504940	0.6015151	0.6185968	0.2964967	0.6769372	0.7023789	0.7031621
750.0	0.4312284	0.1830240	0.6871669	0.1629570	0.8109014	0.7072068	0.3464998	0.5656413	0.6190027	0.6591297
800.0	0.4909873	0.1829535	0.7381476	0.2613967	0.4959364	0.5809141	0.2647255	0.7297857	0.6630505	0.6886034
850.0	0.4544382	0.3528640	0.5371877	0.1606453	0.6393336	0.7483261	0.3425543	0.6939279	0.6281442	0.6326127
900.0	0.4887428	0.3040377	0.6307753	0.2282703	0.6016739	0.7792931	0.4029617	0.7244836	0.6980404	0.5462572
950.0	0.4740169	0.1796117	0.7095396	0.2521159	0.6393798	0.7375304	0.4048745	0.7924089	0.5536241	0.6773773
1000.0	0.5000823	0.2434314	0.6775005	0.1795050	0.6268072	0.7133249	0.2939547	0.6909824	0.6046383	0.7255624

0.0	0.4913996	0.2186024	0.6538864	0.1526989	0.6485774	0.6781371	0.3993288	0.6322062	0.6069166	0.5902376
50.0	0.4297752	0.1677699	0.5966520	0.0416342	0.6039504	0.6077658	0.4507060	0.1899539	0.7014880	0.3709204
100.0	0.2939082	0.2841127	0.5424731	0.0459027	0.7568456	0.6931408	0.5485288	0.1369477	0.5299586	0.3454509
150.0	0.2744186	0.2160433	0.4715707	0.0185993	0.6648747	0.7206552	0.4191227	0.0807017	0.7147256	0.3935393
200.0	0.1263209	0.3051428	0.3341686	0.0125383	0.9438756	0.5733686	0.4048180	0.0901048	0.5577913	0.3359286
250.0	0.0843069	0.4775660	0.2269453	0.0106738	0.7348969	0.6532356	0.4021574	0.0809343	0.5015089	0.3789018
300.0	0.1129699	0.4718423	0.1070680	0.0480629	0.8071228	0.7197277	0.3879869	0.0965888	0.3876723	0.2672692
350.0	0.3647743	0.4842107	0.0334237	0.1434236	0.5844739	0.6232546	0.3649183	0.0934378	0.5102852	0.2920532
400.0	0.2704143	0.3450436	0.0213140	0.1896715	0.6943054	0.6142850	0.3874153	0.0874391	0.3939002	0.2820745
450.0	0.3719144	0.3358139	0.0603098	0.1538614	0.6343760	0.6307064	0.3317178	0.0810491	0.4043584	0.2517695
500.0	0.3061963	0.2481532	0.0616657	0.1616050	0.7137759	0.6872229	0.4581148	0.0876817	0.4039936	0.2683819
550.0	0.3152368	0.2642055	0.1178222	0.3239842	0.6176897	0.6434028	0.1438364	0.6471502	0.5431759	0.5306211
600.0	0.5317285	0.2548244	0.4483674	0.3478760	0.7504321	0.6552486	0.2135935	0.6993472	0.6186351	0.7342137
650.0	0.4903260	0.1964693	0.4250924	0.2990039	0.6274519	0.8249595	0.2340862	0.7218518	0.5825071	0.6437662
700.0	0.5657734	0.2426240	0.6775103	0.2706779	0.6477081	0.7360037	0.2558514	0.6717318	0.8964608	0.7315750
750.0	0.4503197	0.1496878	0.7301661	0.2133087	0.7986493	0.7627743	0.2553226	0.8355873	0.5546085	0.7094750
800.0	0.5377686	0.2315992	0.7229181	0.1929508	0.6775026	0.6013558	0.3939014	0.6228192	0.7273523	0.6334023
850.0	0.4813819	0.2653887	0.8309295	0.1626696	0.6744717	0.6589181	0.3256386	0.5707512	0.6083497	0.6459902
900.0	0.3890599	0.2005018	0.6328837	0.1704934	0.7603578	0.7650164	0.2839382	0.7445010	0.6949433	0.7639971
950.0	0.4560226	0.2110559	0.7732959	0.1492258	0.8100552	0.6814766	0.4257877	0.7697899	0.6941771	0.6702099
1000.0	0.4415159	0.2218596	0.5682790	0.1799927	0.6607936	0.7993019	0.3292850	0.7274209	0.6086672	0.6736653

0.0	0.4078953	0.2185342	0.7063299	0.1863636	0.6499406	0.6578917	0.3466128	0.8576961	0.7811452	0.7189921
50.0	0.3577595	0.1757856	0.5642894	0.1761359	0.5798168	0.8335105	0.2975041	0.2149529	0.5984654	0.6966484
100.0	0.5531377	0.1549230	0.6525948	0.1716281	0.5519256	0.7744013	0.2241624	0.0810286	0.6502929	0.6162392
150.0	0.5092814	0.2090090	0.3688447	0.1903398	0.4892050	0.7239408	0.1488950	0.0265867	0.7099093	0.6915596
200.0	0.5864564	0.2154980	0.3132494	0.2086369	0.4726004	0.6879765	0.1454351	0.0375948	0.6205225	0.7600159
250.0	0.4986660	0.1439892	0.2277368	0.2324963	0.5172881	0.6165494	0.0654906	0.0282403	0.7952763	0.6605468
300.0	0.6851216	0.1369804	0.2232820	0.2020476	0.4476192	0.6275918	0.0609730	0.0269157	0.6668893	0.6340938
350.0	0.7404243	0.1591517	0.3089136	0.2563368	0.5757848	0.5844128	0.0948123	0.0370629	0.7428034	0.7049661
400.0	0.6399301	0.1910770	0.4124050	0.2251950	0.5196877	0.5712541	0.0441920	0.0672074	0.6155896	0.5863873
450.0	0.5503516	0.1621000	0.3578462	0.2133208	0.6143257	0.5409844	0.0565470	0.0338639	0.6593598	0.7121911
500.0	0.6816826	0.1719130	0.2433661	0.2463323	0.5160031	0.5323649	0.0786067	0.0236519	0.7084438	0.7353064
550.0	0.7979850	0.1684443	0.3180639	0.2444862	0.5813850	0.5149592	0.1255303	0.5957651	0.5689632	0.6338112
600.0	0.7054637	0.1621664	0.4950608	0.1600044	0.6959040	0.6911988	0.3110485	0.7248182	0.6277049	0.7695725
650.0	0.5529081	0.1634749	0.4531738	0.2828950	0.6906824	0.6894662	0.2423115	0.6702528	0.6821383	0.5650448
700.0	0.4619332	0.1342342	0.7806160	0.1798195	0.7606458	0.6954214	0.3632120	0.6434957	0.8993064	0.7504237
750.0	0.4981211	0.1668163	0.7419319	0.2371930	0.7223653	0.7462199	0.3497454	0.6684966	0.6135085	0.6918944
800.0	0.5070944	0.2005844	0.6627133	0.1829414	0.7311406	0.6965763	0.2733472	0.6809886	0.6526455	0.7174308
850.0	0.4483142	0.1816097	0.7609853	0.1012029	0.6307130	0.5975349	0.3177007	0.8437503	0.6486631	0.6815456
900.0	0.5411319	0.1948401	0.5844153	0.1839918	0.8005798	0.6847374	0.3879303	0.6730306	0.6140042	0.8026293
950.0	0.5425137	0.1631917	0.6459106	0.1322311	0.7989958	0.7476753	0.2792495	0.7202696	0.5497440	0.6928651
1000.0	0.6819136	0.1564015	0.6805011	0.1569644	0.7266528	0.6919485	0.3815922	0.7384673	0.7184888	0.6645195

0.0	0.4529188	0.2470749	0.8303511	0.2197697	0.8022241	0.7625045	0.2815470	0.7561238	0.5435900	0.6782432
50.0	0.3191765	0.2342905	0.6908827	0.0821645	0.6672122	0.6137609	0.2399664	0.7445141	0.6316647	0.6514474
100.0	0.2408129	0.1703767	0.6240849	0.0327824	0.7021169	0.6351839	0.3678180	0.8206914	0.6998272	0.6408644
150.0	0.1780380	0.3039248	0.7077233	0.0182201	0.6451238	0.7716750	0.4145960	0.6578078	0.7326197	0.6314700
200.0	0.0559173	0.4208334	0.4967928	0.0070298	0.7694652	0.7519623	0.3950377	0.6089122	0.5421569	0.7208959
250.0	0.0439041	0.5745513	0.3675130	0.0325388	0.7941186	0.8525394	0.4022179	0.6208666	0.5536478	0.6921294
300.0	0.0251211	0.5409222	0.3042809	0.0088394	0.7711948	0.7677796	0.3683329	0.6269466	0.5506373	0.7148951
350.0	0.0186547	0.5128028	0.3263740	0.0473812	0.6859046	0.9896109	0.3257860	0.7703814	0.7584403	0.8464993
400.0	0.0376923	0.7458682	0.2884501	0.0403934	0.6945220	0.7167575	0.2624573	0.7117851	0.4950272	0.7337229
450.0	0.1113273	0.6012423	0.3081785	0.0979551	0.6831531	0.7486278	0.3443267	0.6687516	0.3952342	0.7012124
500.0	0.1322001	0.6043122	0.2605071	0.0345343	0.6699017	0.6750551	0.3188395	0.8229415	0.3723100	0.6615105
550.0	0.2990591	0.4506295	0.2361399	0.2142348	0.6113168	0.6557903	0.3800848	0.7274796	0.4154346	0.7680971
600.0	0.4551745	0.3880499	0.2503408	0.2683611	0.7587702	0.7031320	0.2659151	0.6628218	0.4994851	0.7585956
650.0	0.4808928	0.1874548	0.3168531	0.3269927	0.5740633	0.7035014	0.3657415	0.7072163	0.5859939	0.7380463
700.0	0.3515979	0.1898988	0.4391767	0.2300725	0.6549008	0.8032748	0.3192404	0.6986860	0.5996159	0.6446329
750.0	0.4868095	0.2328724	0.5093516	0.2483343	0.7483145	0.6979611	0.2602806	0.9350571	0.6339420	0.7273649
800.0	0.4839723	0.2243898	0.6396115	0.1164075	0.8313000	0.6718706	0.3888028	0.6844400	0.5510709	0.8586479
850.0	0.3922516	0.2600132	0.6456630	0.1617238	0.6900818	0.6490364	0.2836286	0.7730369	0.6043066	0.8456395
900.0	0.4084956	0.1920631	0.8074687	0.1448646	0.6979674	0.7476143	0.3780398	0.7009043	0.6243863	0.7304428
950.0	0.3723510	0.2258812	0.5256759	0.1678650	0.6670504	0.7039242	0.3049996	0.7489774	0.6094389	0.6961066
1000.0	0.4174644	0.3007012	0.5692324	0.1903470	0.7273290	0.7470156	0.3295154	0.7117071	0.5459450	0.5858316
"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6665114	0.1272186	0.3550646	0.7745716	0.1004299	0.2754930	0.6067846	0.7430983	0.6656366	0.6950638
50.0	0.3257748	0.1218223	0.3464115	0.7229108	0.1924591	0.3107637	0.6096963	0.7567515	0.5554138	0.7327167
100.0	0.1775012	0.0443587	0.5712888	0.5868280	0.2333497	0.3569736	0.4647324	0.6656993	0.7211032	0.6717156
150.0	0.1838851	0.0615354	0.4849771	0.6338205	0.4045100	0.3375671	0.4200074	0.7324089	0.6402268	0.6970434
